,Title,Title_Entity,Title_Salience,Description,Description_Entity,Description_Salience
10,big baguett shape pillow,['shape pillow'],[1.0],introduc big baguett shape pillow feel cute french today love big pillow love french bread big baguett pillow perfect love baguett shape pillow look like reallif baguett innov bread plush cushion made soft plush fill high qualiti polypropylen fiber cotton pillow feel super comfort addit great gift friend cours best choic birthday holiday christma new year final wonder gift foodi friend plus it pretti big big allinal pillow hilari fun tri pair wine shape pillow,"['shape pillow', 'french', 'pillow', 'cushion', 'baguett pillow', 'french bread', 'fiber cotton pillow', 'love', 'wonder gift', 'foodi friend', 'shape pillow', 'plush', 'reallif baguett', 'tri pair', 'gift friend', 'pillow hilari']","[0.20001539587974548, 0.13530109822750092, 0.12519322335720062, 0.12400303035974503, 0.08303631097078323, 0.06164679303765297, 0.05318773165345192, 0.0371767021715641, 0.02977839671075344, 0.02977839671075344, 0.028548238798975945, 0.02751857042312622, 0.022204164415597916, 0.018449081107974052, 0.013205200433731079, 0.010957662016153336]"
11,hous clean dust mop slipper,['dust mop slipper'],[1.0],dust mop slipper stretchi fit perfect shoe sock barefeet put regular mop made chenill fibr materi plus soft flexibl warm import dust mop slipper strong decontamin water absorpt abil easili clean dust dirt pet hair mop slipper whole famili clean togeth mean enjoy housework kid fun clean time perfect kitchen home offic use packag includ 4 pair shoe cover make set 8 4 differ bright color blue green purpl orang dust mop slipper wonder gift pet owner,"['dust mop slipper', 'shoe sock barefeet', 'stretchi', 'mop', 'dust dirt pet hair mop slipper', 'import dust mop slipper', 'famili', 'decontamin water', 'togeth', 'pair shoe cover make set', 'orang dust mop slipper wonder gift pet owner', 'kitchen home offic use packag', '4', '4', '8']","[0.2143513709306717, 0.19171613454818726, 0.16715651750564575, 0.09575551003217697, 0.06339076906442642, 0.06265375763177872, 0.04788926616311073, 0.047325264662504196, 0.03774920850992203, 0.03349190950393677, 0.023622341454029083, 0.014897946268320084, 0.0, 0.0, 0.0]"
12,nicola cage sequin pillow case,['cage sequin pillow case'],[1.0],fan nicola cage nicola cage sequin pillow case made rub hand sequin reveal sexi face nicola cage pillow case definit nation treasur curl couch pillow read wise word advic nicola cage book nicola cage pillow case made premiumqu sequin measur 157”x157” nicola cage pillow case lightweight durabl plus hide show face rub hand “mermaid” style sequin buy pillow case add stylish sexi fun room order includ pillow cover pillow includ pillow cover creat perfect shape pillow also come lifetim warranti 100 refund replac support,"['cage', 'cage sequin pillow case', 'hand sequin', 'fan', 'sexi', 'cage pillow case', 'couch pillow', 'pillow cover pillow', 'nation', 'cage pillow case', 'nicola cage pillow case', 'word', 'show face rub hand', 'cage book', 'durabl', 'shape pillow', 'pillow cover', 'room order', 'sequin measur 157', 'refund replac support', 'pillow case', 'style sequin', 'mermaid', '157', '100']","[0.13244393467903137, 0.12670521438121796, 0.12020372599363327, 0.09186088293790817, 0.07342337816953659, 0.05107519403100014, 0.04212410748004913, 0.03875104710459709, 0.036362424492836, 0.03531758859753609, 0.03247503191232681, 0.031114622950553894, 0.02614396996796131, 0.024749312549829483, 0.023018283769488335, 0.02097596414387226, 0.01979505456984043, 0.01741771213710308, 0.014918510802090168, 0.012236482463777065, 0.010905344970524311, 0.010291842743754387, 0.0076903728768229485, 0.0, 0.0]"
13,mermaid tail,['mermaid tail'],[1.0],mermaid tail 100 useless ever want mermaid tail ever want reenact littl mermaid “under sea” swim pool must get beauti useless item mermaid tail made usa bestsel highest review swimmabl mermaid tail world know you'r get best qualiti revolutionari patent tip reinforc technolog protect tip tail hole tear shred need tip protector tape mermaid forev plus swim faster includ fin fun monofin pool ocean engin fin fun monofin creat natur mermaid motion unbreak fin neopren cover mermaid engin class colleg premium qualiti mermaiden collect mermaid tail resist effect sun pool chemic tail keep glorious color mention come differ color tri mermaid shell hair brush feel like mermaid bathroom,"['mermaid', 'mermaid tail', 'mermaid tail', 'mermaid tail', 'swim pool', 'sea', 'qualiti revolutionari patent tip', 'mermaid tail', 'reinforc technolog', 'tip tail hole tear shred', 'monofin pool ocean', 'tail', 'effect sun pool', 'tip protector tape mermaid forev', 'qualiti mermaiden', 'mermaid', 'review swimmabl mermaid tail world', 'color tri mermaid shell hair brush', 'mermaid bathroom', 'color mention', 'colleg', 'fin neopren', 'monofin creat natur mermaid motion', '100']","[0.1817532628774643, 0.15832304954528809, 0.15832304954528809, 0.0640038326382637, 0.051698073744773865, 0.041690096259117126, 0.035676196217536926, 0.030882233753800392, 0.028708774596452713, 0.028708774596452713, 0.026378458365797997, 0.025451023131608963, 0.024835284799337387, 0.022533433511853218, 0.022442523390054703, 0.015964938327670097, 0.01545428205281496, 0.0140174375846982, 0.0140174375846982, 0.012713045813143253, 0.008808259852230549, 0.008808259852230549, 0.008808259852230549, 0.0]"
14,20 pack pool drink float,"['pack pool drink float', '20']","[1.0, 0.0]",get readi summer 20 pack pool drink float 80 useless 100 fun pool drink float come mani shape umbrella flamingo wing blue donut crab duck strawberri white goos red lip love pink donut kiwifruit cactus bear spot donut watermelon yellow lemon green lemon rainbow toucan style wow cute fashion water toy plus drink float light inflat quick import make pool parti blast imagin cute littl shape float around pool keep drink safe addit pool drink float good qualiti featur highqual waterproof materi easi fill deflat safe use multipl time inflat effortless 10 second make splash next beach parti pool parti ps use drink holder also pool bath toy kid cute multi shape love adult kid swim well amaz mermaid tail gorgeous rose wine bottl pool float,"['pack pool drink float', 'pool drink float', 'lip', 'donut crab duck', 'mani shape umbrella flamingo wing', 'pool', 'float', 'pool drink', 'fashion water toy', 'lemon', 'donut kiwifruit cactus bear spot donut watermelon', 'float light', 'pool parti blast', 'import', 'lemon rainbow toucan style', 'qualiti featur', 'bath toy', 'pool parti ps use drink holder', 'beach', 'bottl pool float', 'shape', 'adult kid', 'mermaid tail', 'materi', '20', '100', '10', '80']","[0.15744076669216156, 0.15744076669216156, 0.06911048293113708, 0.045039597898721695, 0.045039597898721695, 0.04399610310792923, 0.04021906480193138, 0.03652920946478844, 0.03522328659892082, 0.03480125963687897, 0.03480125963687897, 0.031015317887067795, 0.031015317887067795, 0.031015317887067795, 0.030642742291092873, 0.02849777787923813, 0.024504484608769417, 0.02155975252389908, 0.02155975252389908, 0.02144576795399189, 0.017221400514245033, 0.017221400514245033, 0.015143637545406818, 0.009515940211713314, 0.0, 0.0, 0.0, 0.0]"
15,tini dick adventur peni color book,"['dick', 'color book']","[0.6507119536399841, 0.34928804636001587]",introduc cutest peni color book planet big adventur tini dick don't big great thing tini dick prove hilari fun color book td isn't huge make giant person fun adventur book great bachelorett parti bore friday night home alon send tini exboyfriend laugh loud color peni color book best sell author fuck ador book come bonus set paper dick,"['adventur', 'color book planet', 'dick', 'bachelorett parti', 'adventur book', 'thing tini dick', 'color book td', 'person', 'color book', 'sell author fuck ador book', 'paper dick', 'bonus', 'color', 'exboyfriend', 'home']","[0.20282460749149323, 0.18083380162715912, 0.0905698910355568, 0.08743607997894287, 0.06561360508203506, 0.06217799335718155, 0.05998874455690384, 0.050779059529304504, 0.04991564527153969, 0.04590675234794617, 0.031031234189867973, 0.02405514009296894, 0.021000677719712257, 0.015710648149251938, 0.012156126089394093]"
16,mini wacki wave inflat tube man,['inflat tube man'],[1.0],first kind miniatur wacki wave mini inflat tube man perfect desktop companion tini market tool hilari gift final joyous danc tube man avail tini deskfriend size box includ 18inch mini inflat tube man fan base make danc wiggl shake like real thing batteri includ 32page mini book explor larger life utter surpris origin everyon favorit flail arm man note product power 9volt batteri specif ac adapt batteri ac adapt includ purchas pleas read follow specif power suppli sheet includ box ensur optim perform batteri must new use recharg must fulli charg,"['inflat tube man', 'miniatur wacki', 'danc tube man avail', 'desktop companion tini market tool hilari gift', 'deskfriend size box', 'inflat tube man fan base', 'origin', 'book', 'life', 'thing', 'power suppli sheet', 'pleas', 'batteri', 'batteri ac', 'charg', 'recharg', 'use', 'box ensur optim perform', 'flail arm man note product power', 'specif ac', '18', '32', '9']","[0.2156190574169159, 0.16495658457279205, 0.0654354840517044, 0.0654354840517044, 0.05059143900871277, 0.04455707594752312, 0.041443388909101486, 0.041443388909101486, 0.041443388909101486, 0.03414669260382652, 0.031366538256406784, 0.031366538256406784, 0.027449389919638634, 0.025061266496777534, 0.022040337324142456, 0.022040337324142456, 0.022040337324142456, 0.022040337324142456, 0.015761468559503555, 0.015761468559503555, 0.0, 0.0, 0.0]"
17,kit cat clock movi,['kit cat clock movi'],[1.0],featur kit cat clock movi classic kitcat wall clock base belov vintag design featur wag pendulum tail roll eye black bodi tail oval face arab numer white includ standard white tie plus red tie perfect special occas measur 15 12 inch tall made usa run 2 c batteri includ kitcat klock around 80 year becom indel part american histori happi catchi look you'r look upgrad version check kit cat clock assembl swarovski crystal,"['featur kit cat clock', 'wall clock base', 'tail oval', 'design featur wag pendulum tail roll eye', 'tie', 'tie', 'histori happi', 'version check kit cat clock assembl swarovski crystal', 'american', '80', '12', '2', '15']","[0.2797158360481262, 0.23359693586826324, 0.11983510106801987, 0.09883987158536911, 0.07808705419301987, 0.07808705419301987, 0.048485178500413895, 0.034288253635168076, 0.029064718633890152, 0.0, 0.0, 0.0, 0.0]"
18,brain coaster set,['brain coaster set'],[1.0],celebr cerebr matter brain coaster set pack 10 coaster featur slice brain stack togeth complet full brain wonder smart sophist friend think coaster made glass featur 4 rubber feet traction never headach coaster label piec brain back togeth smart love furnitur coaster perfect mayb you'r doctor protect desk brain slice perfect gift home grab set brain coaster they'r gone coaster measur 4inch would go amaz beauti brain anatomi art set wall,"['brain coaster', 'celebr cerebr', 'brain', 'coaster label piec brain', 'coaster', 'coaster featur slice brain stack', 'love furnitur coaster', 'brain coaster', 'sophist friend', 'traction', 'glass', 'coaster measur 4inch', 'wall', 'brain anatomi art', 'desk brain', 'doctor', 'gift home grab', '10', '4', '4']","[0.21709054708480835, 0.15158258378505707, 0.09302850067615509, 0.06473061442375183, 0.06397078186273575, 0.06098445877432823, 0.05958808958530426, 0.04531542584300041, 0.043694812804460526, 0.042152587324380875, 0.04165036603808403, 0.02867412567138672, 0.020669154822826385, 0.020669154822826385, 0.02018340677022934, 0.013007687404751778, 0.013007687404751778, 0.0, 0.0, 0.0]"
19,peni bbq apron,['bbq apron'],[1.0],introduc small peni bbq apron love cook stay clean also like tell peopl small dick gift apron may look ordinari mani mani function first keep clean second remind other transitori state exist import tell small dick without say word also bbqing adjust apron immedi identifi master chef hometh front pocket apron give place hold onto season packet meat thermomet grill slip recip cardsthi adjust apron machinewash fadeproof resist wrinkl shrinkagewhen present pictureperfect delect meal without much greas spot cloth famili friend applaud culinari expertis might also enjoy “i love rub meat” apron,"['bbq apron love cook', 'expertis', 'dick gift apron', 'apron', 'mani mani function', 'word', 'pocket apron', 'master chef', 'state', 'import', 'dick', 'apron', 'delect meal', 'place hold', 'friend', 'transitori', 'rub meat', 'cardsthi', 'season packet meat thermomet grill slip', 'apron machinewash', 'fadeproof', 'wrinkl shrinkagewhen']","[0.16084720194339752, 0.11003964394330978, 0.07053416222333908, 0.06487833708524704, 0.06367012858390808, 0.06291285902261734, 0.05966336280107498, 0.04948312044143677, 0.043335720896720886, 0.03703084960579872, 0.036826036870479584, 0.033842533826828, 0.03240719065070152, 0.03087090328335762, 0.030498186126351357, 0.02580605447292328, 0.024364199489355087, 0.013465741649270058, 0.013465741649270058, 0.013465741649270058, 0.013465741649270058, 0.009126551449298859]"
20,pizza blanket,['pizza blanket'],[1.0],introduc realitst pizza blanket love pizza want show throw couch first pizza blanket made incred soft warm fleec cozi couch insid delici look pizza size 182cm pretti big product real use keep warm remind yummi pizza blanket shape like pizza great gift anyon especi crazi also goe well hamburg blanket,"['pizza', 'pizza blanket', 'pizza blanket', 'show throw couch', 'couch', 'pizza', 'pizza size', 'product', 'use', 'anyon', 'gift', 'blanket', 'pizza blanket shape', 'especi crazi', 'hamburg', '182']","[0.24051214754581451, 0.21942555904388428, 0.09094246476888657, 0.07790836691856384, 0.054043058305978775, 0.04914984479546547, 0.04766438528895378, 0.04383820295333862, 0.03617963567376137, 0.03325493261218071, 0.03325493261218071, 0.0312421303242445, 0.014746992848813534, 0.013918669894337654, 0.013918669894337654, 0.0]"
21,dick trophi,['dick trophi'],[1.0],golden dick trophi introduc dick trophi imagin award ceremoni serious wtf funni wouldn't honor receiv scenario hundr fun team offic fratern soror trivia award name suggest dick day award dick year big dick award world smallest willi best dick trophi accord amazon dick trophi easi oper compact portabl make experi wonder lightweight easi carri everywher want go think silli award perfect trophi laugh fun new interest gift make laugh parti 100 new product,"['trophi', 'dick trophi', 'award', 'dick day award dick', 'wtf funni', 'scenario', 'dick', 'dick trophi', 'dick award world', 'team offic', 'fratern soror trivia award name', 'accord', 'silli', 'interest gift', 'product', 'everywher', 'experi', 'portabl', '100']","[0.2594325542449951, 0.15257279574871063, 0.15257279574871063, 0.04972785338759422, 0.046837445348501205, 0.046837445348501205, 0.045760445296764374, 0.03955502435564995, 0.032330747693777084, 0.031944409012794495, 0.031944409012794495, 0.029719235375523567, 0.02251056768000126, 0.015828898176550865, 0.012556901201605797, 0.00995615590363741, 0.00995615590363741, 0.00995615590363741, 0.0]"
22,scream goat toy,['goat toy'],[1.0],goat hilari scream goat toy figurin can't get enough hilari goat youtub buy product 🍓 goat statuett bleat bloodcurdl scream 🍓 press cut ring tree stump base activ scream 🍓 batteri oper batteri includ lr41 button cell 🍓 includ 32page leaflet goat fact scream goat toy perfect gift goatlov anyon lol scream goat put desk offic,"['goat toy figurin', 'goat hilari', 'goat youtub buy product', 'press', 'ring tree stump base activ', 'goat statuett bleat bloodcurdl', 'goat toy', 'goat', 'goat fact', 'gift', '🍓 batteri oper batteri includ lr41', 'anyon', 'desk offic', 'button cell', '32']","[0.277751624584198, 0.19989386200904846, 0.0814623311161995, 0.05645889788866043, 0.05645889788866043, 0.055790241807699203, 0.04474092274904251, 0.0445074699819088, 0.03941792622208595, 0.03941792622208595, 0.03106517158448696, 0.027769627049565315, 0.027769627049565315, 0.01749548688530922, 0.0]"
23,beer pong fire game variat,"['beer pong fire game', 'variat']","[0.5606412291526794, 0.43935874104499817]",take beer pong next level beer pong fire game variat like battleship also like beer pong game play team align sixteen cup 4×4 squar format rerack team start 6 ship card construct 3 total ship team must creat ship 3 card straight line anoth 2 card straight line singl card ship extra card provid larger game random pull 10 remain nonship card includ “water miss” card powerup card win must “sink” oppos team ship team hit oppos team ship must declar hit andor sunk strateg place everi beerproof card drawn insid cup great gift love beer pong want varieti beer pong fire game variat great way mix next hous parti,"['beer pong', 'beer pong fire game', 'variat', 'battleship', 'rerack team', 'beer pong game play team', 'card', 'ship card', 'card', 'card', 'card ship', 'ship team', 'line', 'game', 'beerproof card', 'line', 'card powerup card win', 'water miss', 'insid cup', 'gift', 'beer pong', 'beer pong fire game', 'hous parti', 'way mix', 'oppos team ship team', 'oppos team ship', '4', 'sixteen', '10', '4', '3', '2', '6', '3']","[0.1316918581724167, 0.11044599860906601, 0.08416955173015594, 0.08416955173015594, 0.0626215934753418, 0.048883117735385895, 0.03773701936006546, 0.037288226187229156, 0.037288226187229156, 0.0347023569047451, 0.033768780529499054, 0.03336593881249428, 0.03178950771689415, 0.030399395152926445, 0.02631334960460663, 0.025902606546878815, 0.0209497082978487, 0.0209497082978487, 0.018010489642620087, 0.01584380678832531, 0.01575995236635208, 0.014876240864396095, 0.01112515851855278, 0.01112515851855278, 0.010411346331238747, 0.010411346331238747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,12 month membership peanut butter jelli month club,"['membership peanut butter', 'club', '12']","[0.5783335566520691, 0.4216664433479309, 0.0]",american must start membership peanut butter jelli month club wtf “whi fck know this” might say right membership mean constant suppli boutiqu peanut butter jelli entir year first everi month get new jar gourmet peanut butter jelli awardwin produc across countri second everi shipment includ finest ingredi third deliveri cover unbeat “they'll love it” guarante peanut butter jelli month club great gift foodi american peanut butter lover ps make read allergi info order,"['american', 'membership peanut butter', 'club', 'fck', 'membership', 'awardwin produc', 'jar gourmet peanut butter jelli', 'peanut butter jelli', 'peanut butter', 'shipment', 'club', 'gift', 'info order', 'everi', 'peanut butter lover', 'cover']","[0.38209277391433716, 0.14893169701099396, 0.12206980586051941, 0.04322754591703415, 0.04198005422949791, 0.03486191853880882, 0.033849336206912994, 0.033445607870817184, 0.02931073307991028, 0.027410149574279785, 0.023581523448228836, 0.020755665376782417, 0.018384220078587532, 0.01633247546851635, 0.014591044746339321, 0.009175437502563]"
25,beach pleas stemless wine glass,"['beach pleas', 'wine glass']","[0.6507119536399841, 0.34928804636001587]",feel summer vibe introduc beach pleas wine glass 20 oz stemless wine glass wine glass sassi cute fun friend plus it funni buy multipl glass beach bottl guy perfect gift beach life give hous beach beachi sister beach motherinlaw etc,"['summer vibe introduc beach pleas', 'glass', 'beach', 'glass', 'friend', 'beach life', 'beach beachi sister beach', 'gift', '20']","[0.315479040145874, 0.1746818572282791, 0.12544210255146027, 0.12154290080070496, 0.09326821565628052, 0.07199608534574509, 0.06831632554531097, 0.029273470863699913, 0.0]"
26,finger hand finger hand,['finger hand finger hand'],[1.0],feel like trap paradox finger hand finger hand here crazi twist finger puppeta hand puppet finger puppet they'r tini hand go hand hand mini hand hand packag come two finger hand ten tini finger hand tini one fit “normal” size finger hand,"['hand', 'trap paradox finger hand finger', 'twist finger', 'hand hand', 'hand', 'finger hand', 'hand hand packag', 'hand puppet finger puppet', 'size finger hand', 'fit', 'finger hand', 'two', 'ten', 'one']","[0.15456469357013702, 0.13731752336025238, 0.13731752336025238, 0.10875719040632248, 0.1062820553779602, 0.07672842592000961, 0.07531235367059708, 0.07062632590532303, 0.054445404559373856, 0.044126540422439575, 0.03452197462320328, 0.0, 0.0, 0.0]"
27,grill cheesus christ maker,"['grill', 'christ', 'maker']","[0.708259105682373, 0.19025832414627075, 0.10148255527019501]",grill cheesus christ maker toast face jesus everi sandwich perfect gift christian friend nonstick plate mean heaven quick clean up ray help even distribut heat ensur perfect toast plus portion proceed go good deed around world buy spread word cheesus christ one sandwich time grill cheesus® electron sandwich press toast face jesus onto sandwich bread inspir famili dine room tabl impress friend parti howev slice grill cheesus® let bring littl grill miracl mealtim snack time anytim also tri shave jesus mug,"['maker toast', 'gift', 'grill', 'electron sandwich press toast', 'friend', 'heaven', 'plate', 'toast', 'grill', 'heat', 'word', 'world', 'deed', 'portion', 'friend parti howev slice grill cheesus', 'jesus mug', 'tri', 'anytim', 'grill miracl', 'jesus', 'sandwich bread', 'dine room', 'one']","[0.2336241751909256, 0.11231732368469238, 0.11209200322628021, 0.06288523226976395, 0.05052107572555542, 0.04455437883734703, 0.03813197836279869, 0.03768694028258324, 0.037597354501485825, 0.035056598484516144, 0.033813897520303726, 0.030706675723195076, 0.030706675723195076, 0.030338477343320847, 0.02135716937482357, 0.015007050707936287, 0.015007050707936287, 0.015007050707936287, 0.01296303141862154, 0.011759346351027489, 0.009433259256184101, 0.009433259256184101, 0.0]"
28,said funni mother day mug,['mug'],[1.0],introduc funni mother day mug “becaus said so” – everi mom ever exist commemor one mom best goto argument mug said classic witti smart love mom put lot bullshit give laughter mother day treat funni mug sublim mug measur 11 oz use microwav dishwash also take custom order use artwork photo logo pleas note depend computertabletcellphon screen color may vari sublim vinyl sticker sharpi design creat use highqual sublim printer heat press adher ink mug perman design print side also check i'm mom mug,"['mug', 'becaus', 'goto argument mug', 'mom', 'mom', 'bullshit', 'love mom', 'mug', 'funni mug', 'mom mug', 'laughter mother', 'artwork photo logo pleas', 'vinyl sticker sharpi design creat use', 'microwav dishwash', 'sublim printer heat press', 'adher ink mug perman design print side', 'computertabletcellphon screen color', '11', 'one']","[0.18172767758369446, 0.12685617804527283, 0.07440374791622162, 0.0720486119389534, 0.0720486119389534, 0.06051957234740257, 0.05760389193892479, 0.05542754754424095, 0.05542754754424095, 0.04616208374500275, 0.04315003380179405, 0.0394245944917202, 0.032537009567022324, 0.026493579149246216, 0.026175012812018394, 0.01841103471815586, 0.01158326305449009, 0.0, 0.0]"
29,12 pack cactus tea light candl,"['tea light candl', '12']","[1.0, 0.0]",cactus tea light candl look amaz home cute succul design make perfect gift mother day birthday valentin day etc 12 pack cactus tea light candl includ 2 cute wrap box 6 candl candl high qualiti paraffin wax candl extend burn time plus holder bottom make sure wax doesn't spill 12 delic design perfect home decor birthday parti wed creat romant atmospher special event product warranti custom servic – item sold “oute offici store” qualiti warranti 48 month provid 48day moneyback 24month warranti item sold oute offici store feel free contact us question,"['cactus tea light candl', 'succul design', 'cactus tea light', 'gift', 'candl', 'wax', 'paraffin wax', 'design', 'holder bottom', 'wrap box', 'home decor birthday parti', 'offici store', 'store', 'item', 'question', 'contact', 'item', 'event', 'product', 'servic', '6', '2', '12', '12', '48', '24', '48']","[0.2054246962070465, 0.1719331294298172, 0.06881382316350937, 0.06069907546043396, 0.05895988643169403, 0.04751313850283623, 0.04751313850283623, 0.04367735981941223, 0.04185333847999573, 0.04135200381278992, 0.03846507519483566, 0.03308739885687828, 0.023269126191735268, 0.023269126191735268, 0.02046566642820835, 0.02046566642820835, 0.014637530781328678, 0.01286693662405014, 0.01286693662405014, 0.01286693662405014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,badass cat mug,['cat mug'],[1.0],badass cat mug purrrrfect cat lover perfect afford gift girlfriend boyfriend mom cat lover let know care cat design side mug it suitabl left right hand rest assur badass cat print mug never peel fade time even hot cold temperatur use microwav dishwash funni ice breaker – enjoy relax morn new favorit ceram coffe cup set favorit coupl read want side either you'r look cute gift bride groom look uniqu wed present cutest housewarm gift husband look simpl thought anniversari present can't go wrong gift remind daili much care satisfact guarante care pack order achiev 100 custom satisfact 2017 chang packag durabl ship item care pack make sure receiv order safe perfect condit defect materi product stand 100 behind pleas contact fantast custom servic team quick find solut 250000 satisfi custom grow,"['gift girlfriend boyfriend mom cat lover', 'care cat design side', 'cat mug purrrrfect cat lover', 'cat print mug', 'rest', 'side', 'gift bride', 'cup', 'dishwash', 'ice breaker', 'simpl', 'gift husband', 'packag', 'ship item care pack', 'materi product stand', 'condit', 'receiv', 'defect', 'pleas', 'solut', 'fantast custom servic team', 'care', 'gift', 'care pack order', '2017', '2017', '250000', '100', '100']","[0.1438509076833725, 0.13931821286678314, 0.12253376841545105, 0.05704737827181816, 0.050283949822187424, 0.03931456431746483, 0.03461403027176857, 0.03461403027176857, 0.034197889268398285, 0.034197889268398285, 0.03258190676569939, 0.031041014939546585, 0.029940512031316757, 0.029940512031316757, 0.024647608399391174, 0.024055397137999535, 0.024055397137999535, 0.024055397137999535, 0.01689375750720501, 0.01689375750720501, 0.01689375750720501, 0.014207115396857262, 0.014207115396857262, 0.010614120401442051, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,babi mop onesi,['onesi'],[1.0],onesi doubl mop babi mop onesi perfect new parent great gift mother day father day plus it funni dress cute babi babi mop onesi set floor need clean may first need get thing start call infant across room pretti soon they'll there child exploit involv kid best anyway crawl babi mop he also learn respons healthi work ethic — 99 unuseless japanes invent author kenji kawakami publish ww norton co new york 1998 habit form earli life everybodi need work contribut healthi societi numer studi prove experi children face first year shape rest life relationship parent decid kind adult becom save friend lot useless discuss share household chore accustom babi earli stage perfect gift perfect gift best friend verg progress spend time friend absorb famili life realli think still care much offspr consum spare time won't believ much around babi familyfriend restaur hotel car train tv show book web site even app famili friend clean tool hard believ might actual increas chanc meet friend within next year,"['mop', 'gift', 'parent', 'kenji kawakami', 'children', 'kid', 'room pretti', 'floor', 'call infant', 'friend', 'thing', 'mop', 'child', 'life relationship parent', 'habit form', 'life everybodi', 'ww norton', 'respons', 'work ethic', 'work', 'japanes', 'life realli', 'offspr', 'consum', 'meet friend', 'friend', 'new york', 'increas', 'tool', 'hotel car train tv show book web site', 'believ', 'friend', 'friend', 'gift', 'gift', 'household chore', 'verg progress', '1998', '99', '1998']","[0.20325669646263123, 0.09286338090896606, 0.08505569398403168, 0.04430070146918297, 0.03776596486568451, 0.03252744674682617, 0.02909877523779869, 0.02909877523779869, 0.02909877523779869, 0.02594929002225399, 0.02484932355582714, 0.02241971343755722, 0.02241971343755722, 0.020091911777853966, 0.019959598779678345, 0.019959598779678345, 0.019959598779678345, 0.019717779010534286, 0.019717779010534286, 0.019370416179299355, 0.0172418262809515, 0.014531577005982399, 0.013838015496730804, 0.013838015496730804, 0.013764418661594391, 0.013764418661594391, 0.011841200292110443, 0.00994325801730156, 0.009702522307634354, 0.009702522307634354, 0.009702522307634354, 0.00864267535507679, 0.00864267535507679, 0.007594376336783171, 0.007594376336783171, 0.006087332032620907, 0.006087332032620907, 0.0, 0.0, 0.0]"
32,william shakespear star war trilog,"['william shakespear', 'star war trilog']","[0.5484389066696167, 0.4515610635280609]",introduc william shakespear star war trilog experi star war saga reimagin shakespear drama come complet authent meter vers plus theatric monologu dialogu first royal imperi box set includ three volum origin trilog verili new hope empir striketh back jedi doth return plus get free 8by34inch fullcolor poster gift entertain impress fan star war shakespear alik everi scene charact film appear play final book featur woodcutstyl illustr enjoy elizabethan version star war galaxi prais william shakespear star war “a quirki addit genrebust canon”—entertain week “a great gift everi geek know matter passion”—huffington post “the book brilliant you'll wonder someon didn't think sooner”—past magazin “at last mother mashup upon us”—cnetcom “william shakespear star war exact need next geeki houseparty”—torcom “nicola delort woodcutstyl illustr fabul mixtur old new”—bo bo “the ultim fan fic”—abc news radio,"['star war', 'star war saga reimagin shakespear drama', 'galaxi prais william shakespear', 'complet authent meter vers', 'version star war', 'star war', 'impress fan star war', 'empir striketh', 'origin', 'doth return', 'imperi box set', 'hope', 'poster gift', 'woodcutstyl illustr', 'gift', 'star war', 'film', 'matter passion', 'canon', 'need', 'quirki addit genrebust', 'shakespear alik everi scene charact', 'everi geek', 'huffington post', 'news radio', 'fan fic', 'geeki houseparty', 'cnetcom', 'torcom', 'book', 'mother mashup', 'nicola delort woodcutstyl illustr fabul mixtur', '8', 'three']","[0.13268135488033295, 0.11740004271268845, 0.07863708585500717, 0.06193218380212784, 0.03593532741069794, 0.03593532741069794, 0.03550294041633606, 0.035257983952760696, 0.035257983952760696, 0.035257983952760696, 0.035257983952760696, 0.035257983952760696, 0.03340448439121246, 0.026601219549775124, 0.025263627991080284, 0.024967104196548462, 0.02390483021736145, 0.022220062091946602, 0.021685000509023666, 0.01678243651986122, 0.014362468384206295, 0.014187841676175594, 0.013723265379667282, 0.012443154118955135, 0.011769930832087994, 0.011769930832087994, 0.009946521371603012, 0.009946521371603012, 0.009946521371603012, 0.008406060747802258, 0.00738602364435792, 0.006968803703784943, 0.0, 0.0]"
33,kid wine glass,['glass'],[1.0],introduc kid wine glass barcon kid perfect glass enjoy favorit wine long day take care famili cool wine glass make perfect gift parent made real glass hold 17 oz fill rim great stemless wine glass use serv wine beer even mix cocktail imag screenprint outsid use ink special made glasswar commerci dishwash safe scrub imprint abras materi great gift mother day father day birthday winelov anyon around kid time,"['glass', 'glass', 'glass', 'wine glass', 'glass', 'gift parent', 'beer', 'gift', 'imprint abras', 'cocktail imag screenprint outsid use ink', '17']","[0.32044777274131775, 0.2556311786174774, 0.07809196412563324, 0.07719646394252777, 0.0604739747941494, 0.055338189005851746, 0.05156247317790985, 0.04449479281902313, 0.039250679314136505, 0.017512500286102295, 0.0]"
